0,1,2,3,4,5,6,7,8,9,10,11,12
snv_group_id,Name,Group Type,target,work_premise_source,license_number,Sector,Value Chain,Address,Created By,Created At,Approved By,Status
HAH-G000027,"asdfsd",ysla,rayee_target,rented_by_mse,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2023-02-07T13:11:57.263192+00:00,-,Pending
HAH-G000026,"RJZhQCpkzI",ysla,non_rayee_target,rented_by_mse,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2023-01-03T11:41:39.518375+00:00,Abebe,Approved
HAH-G000025,"Adria Phillips",ysla,rayee_target,rented_by_mse,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-20T12:55:44.157425+00:00,Abebe,Submitted
HAH-G000024,"group",-,rayee_target,-,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-20T12:19:11.686161+00:00,Abebe,Submitted
HAH-G000023,"Mike New",ysla,rayee_target,-,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-19T11:53:52.625994+00:00,Abebe,Submitted
HAH-G000022,"hellow",mse,rayee_target,-,-,Agriculture,9. Small scale Food processing,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T13:35:52.521931+00:00,Abebe,Submitted
HAH-G000021,"Herrod Wade",-,rayee_target,-,127,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T13:09:24.321391+00:00,Abebe,Submitted
HAH-G000020,"Aidan Bright",-,rayee_target,-,968,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T11:52:24.12362+00:00,Abebe,Submitted
HAH-G000019,"Baxter Berger",ysla,non_rayee_target,rented_by_mse,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T08:59:30.908967+00:00,Abebe,Submitted
HAH-G000018,"Melinda Fulton",-,rayee_target,-,633,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T08:12:50.930881+00:00,Abebe,Submitted
HAH-G000017,"Holly Lowery",-,rayee_target,-,877,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T08:02:32.453073+00:00,Abebe,Submitted
HAH-G000016,"Keane Gross",-,rayee_target,-,799,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T07:48:52.637012+00:00,Abebe,Submitted
HAH-G000015,"Chancellor Acosta",-,rayee_target,-,1,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T07:26:45.009823+00:00,Abebe,Submitted
HAH-G000014,"Ishmael Singleton",-,rayee_target,-,322,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T07:25:15.548825+00:00,Abebe,Submitted
HAH-G000013,"Kato Sullivan",ysla,rayee_target,-,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T07:23:01.173913+00:00,Abebe,Submitted
HAH-G000012,"Veronica Thompson",-,rayee_target,-,726,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T06:45:31.05247+00:00,Abebe,Submitted
HAH-G000011,"Kelly Tyler",saco,rayee_target,rented_by_mse,924,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-12-15T06:03:11.364873+00:00,Abebe,Submitted
HAH-G000010,"Joy Faulkner",mse,rayee_target,rented_by_mse,782,Agriculture,9. Small scale Food processing,HahuJobs Region / HahuJobs / -,Abebe,2022-12-14T14:19:31.629507+00:00,Abebe,Submitted
HAH-G000009,"Daniel Kassahun",mse,non_rayee_target,rented_by_mse,ssssssssssss44444,Agriculture,6. Vegetable,HahuJobs Region / HahuJobs / -,Abebe,2022-12-13T08:08:16.883387+00:00,Abebe,Submitted
HAH-G000008,"The family",mse,rayee_target,rented_by_mse,54666,Agriculture,9. Small scale Food processing,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:27:44.792204+00:00,Abebe,Submitted
HAH-G000007,"Lighters",mse,rayee_target,provided_by_government,654777,Non-Agriculture,11. Other enterprises,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:25:13.798635+00:00,Abebe,Submitted
HAH-G000006,"Daniel's Family",ysla,rayee_target,rented_by_mse,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:20:08.239525+00:00,Abebe,Submitted
HAH-G000005,"testers",ysla,rayee_target,provided_by_family_or_friends,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:15:54.642594+00:00,Abebe,Submitted
HAH-G000004,"Sol and his friends",ysla,rayee_target,provided_by_government,-,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:15:07.096239+00:00,Abebe,Submitted
HAH-G000003,"Mavericks",saco,rayee_target,provided_by_family_or_friends,09876,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:09:51.93852+00:00,Abebe,Submitted
HAH-G000002,"metarliyon ",saco,rayee_target,provided_by_family_or_friends,219834,-,-,HahuJobs Region / HahuJobs / -,Abebe,2022-11-18T08:00:44.529016+00:00,Abebe,Submitted
HAH-G000001,"testing group",mse,rayee_target,provided_by_government,123456789,Agriculture,9. Small scale Food processing,HahuJobs Region / HahuJobs / -,Abebe,2022-11-16T07:26:05.605402+00:00,Abebe,Submitted
